"DateTime","Temperature","Dew Point","Humidity"
"2017-12-31 19:51:00",12.02,-5.3,45.26
"2017-12-31 20:51:00",10.94,-5.3,47.49
"2017-12-31 21:51:00",10.04,-5.28,49.44
"2017-12-31 22:51:00",10.04,-4.2,52.09
"2017-12-31 23:51:00",8.96,-4.18,54.68
"2018-01-01 00:51:00",8.96,-4.18,54.68
"2018-01-01 01:51:00",8.96,-4.18,54.68
"2018-01-01 02:51:00",8.06,-4.18,56.95
"2018-01-01 03:51:00",8.06,-5.26,54.06
"2018-01-01 04:51:00",8.06,-5.26,54.06
"2018-01-01 05:51:00",6.98,-5.26,56.78
"2018-01-01 06:51:00",6.98,-5.26,56.78
"2018-01-01 07:51:00",6.98,-4.16,59.81
"2018-01-01 08:51:00",8.06,-3.08,59.98
"2018-01-01 09:51:00",10.94,-3.12,52.69
"2018-01-01 10:51:00",12.02,-4.22,47.68
"2018-01-01 11:51:00",14,-4.23,43.69
"2018-01-01 12:51:00",15.08,-5.33,39.55
"2018-01-01 13:51:00",17.06,-5.33,36.28
"2018-01-01 14:51:00",17.96,-5.33,34.9
"2018-01-01 15:51:00",17.96,-6.23,33.41
"2018-01-01 16:51:00",17.96,-5.33,34.9
"2018-01-01 17:51:00",17.96,-6.23,33.41
"2018-01-01 18:51:00",17.06,-4.25,38.22
"2018-01-01 19:51:00",17.06,-4.25,38.22
"2018-01-01 20:51:00",17.06,-2.25,42.03
"2018-01-01 21:51:00",17.06,-0.27,46.16
"2018-01-01 22:51:00",15.98,1.74,53.09
"2018-01-01 23:51:00",15.08,2.84,58.06
"2018-01-02 00:51:00",15.08,1.74,55.22
"2018-01-02 01:51:00",15.08,0.84,52.94
"2018-01-02 02:51:00",14,0.84,55.51
"2018-01-02 03:51:00",14,0.84,55.51
"2018-01-02 04:51:00",12.92,0.86,58.21
"2018-01-02 05:51:00",12.92,0.86,58.21
"2018-01-02 06:51:00",12.92,0.86,58.21
"2018-01-02 07:51:00",12.92,1.78,60.72
"2018-01-02 08:51:00",14,1.76,57.89
"2018-01-02 09:51:00",15.98,2.82,55.83
"2018-01-02 10:51:00",17.96,3.72,53.42
"2018-01-02 11:51:00",21.02,4.78,49.25
"2018-01-02 12:51:00",23,5.85,47.59
"2018-01-02 13:51:00",24.98,5.83,43.8
"2018-01-02 14:51:00",26.06,5.83,41.87
"2018-01-02 15:51:00",24.98,6.73,45.63
"2018-01-02 16:51:00",24.08,6.75,47.38
"2018-01-02 17:51:00",24.08,5.85,45.48
"2018-01-02 18:51:00",23,5.85,47.59
"2018-01-02 19:51:00",21.92,4.77,47.4
"2018-01-02 20:51:00",19.94,4.78,51.57
"2018-01-02 21:51:00",19.04,3.7,50.99
"2018-01-02 22:51:00",19.04,2.8,48.91
"2018-01-02 23:51:00",19.04,1.71,46.51
"2018-01-03 00:51:00",19.04,2.8,48.91
"2018-01-03 01:51:00",19.04,1.71,46.51
"2018-01-03 02:51:00",17.06,1.72,50.65
"2018-01-03 03:51:00",17.06,1.72,50.65
"2018-01-03 04:51:00",17.06,0.82,48.57
"2018-01-03 05:51:00",17.06,-0.27,46.16
"2018-01-03 06:51:00",17.06,-0.27,46.16
"2018-01-03 07:51:00",17.06,-1.17,44.24
"2018-01-03 08:51:00",17.96,-0.27,44.4
"2018-01-03 09:51:00",19.04,-1.19,40.62
"2018-01-03 10:51:00",21.92,0.79,39.44
"2018-01-03 11:51:00",24.98,1.67,36.17
"2018-01-03 12:51:00",26.96,1.67,33.32
"2018-01-03 13:51:00",28.94,-0.33,27.99
"2018-01-03 14:51:00",28.94,1.65,30.71
"2018-01-03 15:51:00",28.94,1.65,30.71
"2018-01-03 16:51:00",28.04,4.73,36.72
"2018-01-03 17:51:00",26.96,6.73,42.03
"2018-01-03 18:51:00",26.96,3.65,36.53
"2018-01-03 19:51:00",28.04,1.67,31.87
"2018-01-03 20:51:00",28.94,10.71,46.32
"2018-01-03 21:51:00",28.04,11.8,50.43
"2018-01-03 22:51:00",28.94,11.79,48.6
"2018-01-03 23:51:00",28.94,10.71,46.32
"2018-01-04 00:51:00",28.04,5.81,38.58
"2018-01-04 01:51:00",28.04,11.8,50.43
"2018-01-04 02:51:00",28.04,6.71,40.2
"2018-01-04 03:51:00",28.04,7.81,42.22
"2018-01-04 04:51:00",26.96,8.73,45.98
"2018-01-04 05:51:00",24.08,18.95,80.76
"2018-01-04 06:51:00",24.08,19.87,83.93
"2018-01-04 07:51:00",24.08,19.87,83.93
"2018-01-04 08:51:00",21.92,18.99,88.45
