Temperature,Humidity,Pressure,Precipitation
12.02,45.26,30.17,0
10.94,47.49,30.18,0
10.04,49.44,30.17,0
10.04,52.09,30.17,0
8.96,54.68,30.16,0
8.96,54.68,30.16,0
8.96,54.68,30.17,0
8.06,56.95,30.18,0
8.06,54.06,30.18,0
8.06,54.06,30.2,0
6.98,56.78,30.2,0
6.98,56.78,30.21,0
6.98,59.81,30.21,0
8.06,59.98,30.22,0
10.94,52.69,30.23,0
12.02,47.68,30.22,0
14.0,43.69,30.21,0
15.08,39.55,30.19,0
17.06,36.28,30.17,0
17.96,34.9,30.18,0
17.96,33.41,30.17,0
17.96,34.9,30.18,0
17.96,33.41,30.19,0
17.06,38.22,30.2,0
17.06,38.22,30.22,0
17.06,42.03,30.19,0
17.06,46.16,30.19,0
15.98,53.09,30.19,0
15.08,58.06,30.19,0
15.08,55.22,30.2,0
15.08,52.94,30.21,0
14.0,55.51,30.22,0
14.0,55.51,30.22,0
12.92,58.21,30.22,0
12.92,58.21,30.22,0
12.92,58.21,30.25,0
12.92,60.72,30.26,0
14.0,57.89,30.27,0
15.98,55.83,30.27,0
17.96,53.42,30.27,0
21.02,49.25,30.22,0
23.0,47.59,30.2,0
24.98,43.8,30.17,0
26.06,41.87,30.17,0
24.98,45.63,30.16,0
24.08,47.38,30.16,0
24.08,45.48,30.16,0
23.0,47.59,30.18,0
21.92,47.4,30.16,0
19.94,51.57,30.17,0
19.04,50.99,30.17,0
19.04,48.91,30.17,0
19.04,46.51,30.17,0
19.04,48.91,30.18,0
19.04,46.51,30.17,0
17.06,50.65,30.18,0
17.06,50.65,30.18,0
17.06,48.57,30.16,0
17.06,46.16,30.16,0
17.06,46.16,30.16,0
17.06,44.24,30.18,0
17.96,44.4,30.18,0
19.04,40.62,30.18,0
21.92,39.44,30.16,0
24.98,36.17,30.13,0
26.96,33.32,30.1,0
28.94,27.99,30.06,0
28.94,30.71,30.03,0
28.94,30.71,30.02,0
28.04,36.72,30.05,0
26.96,42.03,30.01,0
26.96,36.53,30.0,0
28.04,31.87,29.97,0
28.94,46.32,29.97,0
28.04,50.43,29.94,0
28.94,48.6,29.88,0
28.94,46.32,29.85,0
28.04,38.58,29.79,0
28.04,50.43,29.74,0
28.04,40.2,29.68,0
28.04,42.22,29.59,0
26.96,45.98,29.52,1
24.08,80.76,29.47,1
24.08,83.93,29.41,1
24.08,83.93,29.36,1
21.92,88.45,29.33,1
21.92,91.92,29.27,1
